==19444== NVPROF is profiling process 19444, command: ../optNonNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19444== Profiling application: ../optNonNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19444== Profiling result:
   Start  Duration  Name
378.99ms     324ns  cudaConfigureCall
378.99ms     310ns  cudaSetupArgument
378.99ms     188ns  cudaSetupArgument
378.99ms     190ns  cudaSetupArgument
378.99ms     181ns  cudaSetupArgument
378.99ms     181ns  cudaSetupArgument
378.99ms     181ns  cudaSetupArgument
378.99ms     173ns  cudaSetupArgument
379.00ms  9.0200us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [444])
379.00ms  1.4793ms  cudaMemcpyAsync
380.48ms  4.6940us  cudaMemcpyAsync
380.49ms     298ns  cudaConfigureCall
380.49ms     295ns  cudaSetupArgument
380.49ms     188ns  cudaSetupArgument
380.49ms     188ns  cudaSetupArgument
380.49ms     183ns  cudaSetupArgument
380.49ms     183ns  cudaSetupArgument
380.49ms     182ns  cudaSetupArgument
380.49ms     177ns  cudaSetupArgument
380.49ms  8.4890us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [455])
380.50ms  1.4666ms  cudaMemcpyAsync
381.97ms  5.0890us  cudaMemcpyAsync
381.97ms     309ns  cudaConfigureCall
381.97ms     305ns  cudaSetupArgument
381.98ms     183ns  cudaSetupArgument
381.98ms     181ns  cudaSetupArgument
381.98ms     176ns  cudaSetupArgument
381.98ms     176ns  cudaSetupArgument
381.98ms     176ns  cudaSetupArgument
381.98ms     181ns  cudaSetupArgument
381.98ms  9.2830us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [466])
381.99ms  1.1707ms  cudaMemcpyAsync
383.16ms  4.7750us  cudaMemcpyAsync
383.16ms     295ns  cudaConfigureCall
383.16ms     313ns  cudaSetupArgument
383.16ms     190ns  cudaSetupArgument
383.16ms     188ns  cudaSetupArgument
383.17ms     182ns  cudaSetupArgument
383.17ms     183ns  cudaSetupArgument
383.17ms     182ns  cudaSetupArgument
383.17ms     176ns  cudaSetupArgument
383.17ms  8.4890us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [477])
383.18ms  1.0563ms  cudaMemcpyAsync
384.23ms  4.6670us  cudaMemcpyAsync
384.24ms     309ns  cudaConfigureCall
384.24ms     299ns  cudaSetupArgument
384.24ms     188ns  cudaSetupArgument
384.24ms     187ns  cudaSetupArgument
384.24ms     181ns  cudaSetupArgument
384.24ms     182ns  cudaSetupArgument
384.24ms     197ns  cudaSetupArgument
384.24ms     174ns  cudaSetupArgument
384.24ms  8.3350us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [488])
384.25ms  1.0601ms  cudaMemcpyAsync
385.31ms  4.6690us  cudaMemcpyAsync
385.31ms     298ns  cudaConfigureCall
385.32ms     309ns  cudaSetupArgument
385.32ms     183ns  cudaSetupArgument
385.32ms     192ns  cudaSetupArgument
385.32ms     176ns  cudaSetupArgument
385.32ms     177ns  cudaSetupArgument
385.32ms     184ns  cudaSetupArgument
385.32ms     175ns  cudaSetupArgument
385.32ms  8.4440us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [499])
385.33ms  1.1124ms  cudaMemcpyAsync
386.44ms  5.1180us  cudaMemcpyAsync
386.45ms     325ns  cudaConfigureCall
386.45ms     314ns  cudaSetupArgument
386.45ms     183ns  cudaSetupArgument
386.45ms     182ns  cudaSetupArgument
386.45ms     177ns  cudaSetupArgument
386.45ms     175ns  cudaSetupArgument
386.45ms     176ns  cudaSetupArgument
386.45ms     182ns  cudaSetupArgument
386.45ms  9.2450us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [510])
386.46ms  1.3063ms  cudaMemcpyAsync
387.77ms  4.7170us  cudaMemcpyAsync
387.77ms     315ns  cudaConfigureCall
387.77ms     300ns  cudaSetupArgument
387.77ms     187ns  cudaSetupArgument
387.77ms     191ns  cudaSetupArgument
387.77ms     214ns  cudaSetupArgument
387.77ms     184ns  cudaSetupArgument
387.77ms     185ns  cudaSetupArgument
387.77ms     176ns  cudaSetupArgument
387.77ms  8.4580us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [521])
387.78ms  968.37us  cudaMemcpyAsync
388.75ms  6.9680us  cudaMemcpyAsync
388.76ms     392ns  cudaConfigureCall
388.76ms     335ns  cudaSetupArgument
388.76ms     190ns  cudaSetupArgument
388.76ms     204ns  cudaSetupArgument
388.76ms     198ns  cudaSetupArgument
388.76ms     186ns  cudaSetupArgument
388.76ms     185ns  cudaSetupArgument
388.76ms     179ns  cudaSetupArgument
388.76ms  10.802us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [532])
388.77ms  1.0700ms  cudaMemcpyAsync
389.84ms  5.1770us  cudaMemcpyAsync
389.85ms     326ns  cudaConfigureCall
389.85ms     315ns  cudaSetupArgument
389.85ms     191ns  cudaSetupArgument
389.85ms     190ns  cudaSetupArgument
389.85ms     183ns  cudaSetupArgument
389.85ms     182ns  cudaSetupArgument
389.85ms     177ns  cudaSetupArgument
389.85ms     177ns  cudaSetupArgument
389.85ms  9.1580us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [543])
389.86ms  1.0813ms  cudaMemcpyAsync
390.94ms  4.6760us  cudaMemcpyAsync
390.95ms     313ns  cudaConfigureCall
390.95ms     294ns  cudaSetupArgument
390.95ms     192ns  cudaSetupArgument
390.95ms     190ns  cudaSetupArgument
390.95ms     182ns  cudaSetupArgument
390.95ms     198ns  cudaSetupArgument
390.95ms     175ns  cudaSetupArgument
390.95ms     183ns  cudaSetupArgument
390.95ms  8.7910us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [554])
390.96ms  1.2725ms  cudaMemcpyAsync
392.23ms  4.7910us  cudaMemcpyAsync
392.24ms     298ns  cudaConfigureCall
392.24ms     310ns  cudaSetupArgument
392.24ms     186ns  cudaSetupArgument
